,year,title,album,artist,lyrics
324,1979-08-20,Man Gave Names To All The Animals,Slow Train Coming,Bob Dylan,"[Chorus]
Man gave names to all the animals
In the beginning, in the beginning
Man gave names to all the animals
In the beginning, long time ago

[Verse 1]
He saw an animal that liked to growl
Big furry paws and he liked to howl
Great big furry back and furry hair
“Ah, think I’ll call it a bear”

[Chorus]

[Verse 2]
He saw an animal up on a hill
Chewing up so much grass until she was filled
He saw milk coming out but he didn’t know how
“Ah, think I’ll call it a cow”

[Chorus]

[Verse 3]
He saw an animal that liked to snort
Horns on his head and they weren’t too short
It looked like there wasn’t nothing that he couldn’t pull
“Ah, think I’ll call it a bull”

[Chorus]

[Verse 4]
He saw an animal leaving a muddy trail
Real dirty face and a curly tail
He wasn’t too small and he wasn’t too big
“Ah, think I’ll call it a pig”

[Chorus]

[Verse 5]
Next animal that he did meet
Had wool on his back and hooves on his feet
Eating grass on a mountainside so steep
“Ah, think I’ll call it a sheep”

[Chorus]

[Outro]
He saw an animal as smooth as glass
Slithering his way through the grass
Saw him disappear by a tree near a lake"
325,1989-09-18,Man In The Long Black Coat,Oh Mercy,Bob Dylan,"[Verse 1]
Crickets are chirping, the water is high
There’s a soft cotton dress on the line hangin’ dry
Window wide open, African trees
Bent over backwards from a hurricane breeze
Not a word of goodbye, not even a note
She gone with the man
In the long black coat

[Verse 2]
Somebody seen him hanging around
At the old dance hall on the outskirts of town
He looked into her eyes when she stopped him to ask
If he wanted to dance, he had a face like a mask
Somebody said from the Bible he’d quote
There was dust on the man
In the long black coat

[Verse 3]
Preacher was a talkin’, there’s a sermon he gave
He said every man’s conscience is vile and depraved
You cannot depend on it to be your guide
When it’s you who must keep it satisfied
It ain’t easy to swallow, it sticks in the throat
She gave her heart to the man
In the long black coat

[Verse 4]
There are no mistakes in life some people say
It is true sometimes you can see it that way
But people don't live or die, people just float
She went with the man
In the long black coat

[Verse 5]
There’s smoke on the water, it’s been there since June
Tree trunks uprooted, 'neath the high crescent moon
Feel the pulse and vibration and the rumbling force
Somebody is out there beating a dead horse
She never said nothing, there was nothing she wrote
She gone with the man
In the long black coat"
326,1962-03-19,Man of Constant Sorrow,Bob Dylan,Bob Dylan,"[Verse 1]
I am a man of constant sorrow
I've seen trouble all my days
I'll say goodbye to Colorado
Where I was born and partly raised

[Verse 2]
Your mother says that I'm a stranger
A face you'll never see no more
But there's one promise darling
I'll see you on God's golden shore

[Verse 3]
Through this open world I'm a-bound to ramble
Through ice and snow, sleet and rain
I'm a-bound to ride that morning railroad
Perhaps I'll die on that train

[Verse 4]
I'm a-going back to Colorado
The place that I've started from
If I'd know-ed how bad you'd treat me
Honey, I never would have come"
327,,Man of constant sorrow - live version,,Bob Dylan,"I'm a man of constant sorrow
I've seen trouble all my days
I'll say, goodbye to Colorado
Where I was born and partly raised
Your mother says, I'm a stranger
My face you'll never see, no more
But there's one promise, darlin'
I'll see you on Gods golden shore
Through this open world I'm bound to ramble
Through ice and snows, sleet and rain
I'm bound to ride that mornin' railroad
Perhaps I'll die on that train
I'm goin' back to Colorado
The place that I've started from
If I'd knowed how bad you'd treat me
Honey, I never would have come"
328,1983-10-27,Man Of Peace,Infidels,Bob Dylan,"[Verse 1]
Look out your window, baby, there’s a scene you’d like to catch
The band is playing “Dixie,” a man got his hand outstretched
Could be the Führer
Could be the local priest
You know sometimes Satan comes as a man of peace

[Verse 2]
He got a sweet gift of gab, he got a harmonious tongue
He knows every song of love that ever has been sung
Good intentions can be evil
Both hands can be full of grease
You know that sometimes Satan comes as a man of peace

[Verse 3]
Well, first he’s in the background, then he’s in the front
Both eyes are looking like they’re on a rabbit hunt
Nobody can see through him
No, not even the Chief of Police
You know that sometimes Satan comes as a man of peace

[Verse 4]
Well, he catch you when you’re hoping for a glimpse of the sun
Catch you when your troubles feel like they weigh a ton
He could be standing next to you
The person that you’d notice least
I hear that sometimes Satan comes as a man of peace

[Verse 5]
Well, he can be fascinating, he can be dull
He can ride down Niagara Falls in the barrels of your skull
I can smell something cooking
I can tell there’s going to be a feast
You know that sometimes Satan comes as a man of peace

[Verse 6]
He’s a great humanitarian, he’s a great philanthropist
He knows just where to touch you, honey, and how you like to be kissed
He’ll put both his arms around you
You can feel the tender touch of the beast
You know that sometimes Satan comes as a man of peace

[Verse 7]
Well, the howling wolf will howl tonight, the king snake will crawl
Trees that’ve stood for a thousand years suddenly will fall
Want to get married? Do it now
Tomorrow all activity will cease
You know that sometimes Satan comes as a man of peace

[Verse 8]
Somewhere Mama’s weeping for her blue-eyed boy
She’s holding them little white shoes and that little broken toy
And he’s following a star
The same one them three men followed from the East
I hear that sometimes Satan comes as a man of peace"
329,,Man on the Street (fragment),,Bob Dylan,"I'll sing you a song, ain't very long
'Bout an old man who never done wrong
How he died nobody can say
They found him dead in the street one day

Well, the crowd, they gathered one fine morn
At the man whose clothes 'n' shoes were torn
There on the sidewalk he did lay
They stopped 'n' stared 'n' walked their way

Well, the p'liceman come and he looked around
""Get up, old man, or I'm a-takin' you down.""
He jabbed him once with his billy club
And the old man then rolled off the curb

Well, he jabbed him again and loudly said
""Call the wagon; this man is dead.""
The wagon come, they loaded him in
I never saw the man again

I've sung you my song, it ain't very long
'Bout an old man who never done wrong
How he died no one can say
They found him dead in the street one day"
330,2008-10-06,Marchin' to the City,"The Bootleg Series, Vol 8: Tell Tale Signs",Bob Dylan,"Well I'm sitting in church
In an old wooden chair
I knew nobody
Would look for me there
. . . Sorrow and pity
. . . Rule the earth and the skies
Looking for nothing
Anyone's eyes

Once I had pretty girls
Did me wrong
Now I'm marching to the city
And the road ain't long

Snowflakes are falling
Around my head
Lord have mercy
It feel heavy like lead
. . . I been hit too hard
. . . Seen too much
Nothing can heal me now
But your touch

Once I had a pretty girl
She done me wrong
Now I'm marching to the city
And the road ain't long

Loneliness
Got a mind of its own
The more people around
The more you feel alone
. . . I'm chained to the earth
. . . Like a silent slave
Trying to break free
Out of death's dark cave

Once I had a pretty girl
Done me wrong
Now I'm marching to the city
And the road ain't long

Boys in the street
Beginning to play
Girls like birds
Flying away
. . . I'm carrying the roses
. . . That were given to me
And I'm thinking about paradise
Wondering what it might be

Once I had a pretty girl
She done me wrong
Now I'm marching to the city
And the road ain't long

Go over to London
Maybe gay Paree
Follow the river
You get to the sea
. . . I was hoping we could drink from
. . . Life's clear streams
I was hoping we could dream
Life's pleasant dreams

Once I had a pretty girl
But she done me wrong
Now I'm marching to the city
And the road ain't long

Well the weak get weaker
And the strong stay strong
The train keeps rolling
All night long
. . . She looked at me
. . . With an irresistible glance
With a smile
That could make all the planets dance

Once I had a pretty girl
She did me wrong
Now I'm marching to the city
And the road ain't long

My house is on fire
Burning to the skies
I thought the rain clouds
But the clouds passed by
. . . When I'm gone
. . . You'll remember my name
I'm gonna win my way
To wealth and fame

Once I had a pretty girl
But she did me wrong
Now I'm marching to the city
And the road ain't long

I don't know"
331,,Marchin' to the City (version #2),,Bob Dylan,"Well i'm sittin' in church in an old wooden chair
I knew nobody would look for me there
Sorrow and pity rule the earth and the skies
Looking for nothin' in anyone's eyes

Once I had a pretty gal, did me wrong
Now I'm marching to the city and the road ain't long

Snow flakes are fallin' around my head
Lord have mercy, it feel heavy like lead
I been hit too hard, seen too much
Nothing can heal me now but your touch

Once I had a pretty gal, she did me wrong
Now I'm marching to the city and the road ain't long

Loneliness got a mind of its own
The more people around, the more you feel alone
I'm chained to the earth like a silent slave
Trying to break free out of death's dark cave

Once I had a pretty gal, done me wrong
Now I'm marching to the city and the road ain't long

Boys in the street beginnin' to play
Girls like birds flyin' away
I'm carryin' the roses that were given to me
And I'm thinkin' about paradise wonderin' where it might be

Once I had a pretty gal, she done me wrong
Now I'm marching to the city and the road ain't long

Go over to London, maybe gay Paris
Follow the river you get to the sea
I was hopin' we could drink from life's clear streams
I was hopin' we could dream life's pleasant dreams

Once I had a pretty gal, but she done me wrong
Now I'm marching to the city and the road ain't long

Well the weak get weaker and the strong stay strong
The train keeps rollin' all night long
She looked at me with an irresistable glance
With a smile that could make all the planets dance

Once I had a pretty gal, she did me wrong
Now I'm marching to the city and the road ain't long

My house is on fire, burnin' to the skies
I thought the rain clouds, but the clouds passed by
When I'm gone you'll remember my name
I'm gonna win my way to wealth and fame

Once I had a pretty gal, but she did me wrong
Now I'm marching to the city and the road ain't long"
332,,Mary and the Soldier,,Bob Dylan,"Come all you lads of high renown
That would hear of a fair young maiden
And she roved out on a summer's day
For to view the soldiers paradin'
They marched so bold and they looked so gay
Their colors flyin' and the bands did play
And it caused young Mary for to say
""I'll wed you my gallant soldier.""

She viewed the soldiers on parade
And as they stood at their leisure
Mary to herself did say
""At last I've found my treasure.""
""But oh, how cruel my parents must be
Banishing my true love so far from me
Well I'll leave them all and I'll go with thee
My bold undaunted soldier.""

""Oh Mary dear, your parents' love
I pray don't be unruly
For when you're in a foreign land
Believe me you'll rue surely
Perhaps in battle I might fall
From a shot from an angry cannonball
And you so far from your daddy's hall
Be advised by a gallant soldier.""

""If I have fifty guineas in bright gold
Likewise a heart that's blunder
And I'd leave them all and I'll go with you
My bold undaunted soldier
So don't say no but let me go
And I will face the daring foe
We'll march together to and fro
I'll wed you my gallant soldier.""

And when he saw her loyalty
And Mary so true-hearted
He said, ""My darling, married we'll be
And nothin' but death will part us
And when we're in some foreign land
I'll guard you, darling, with my right hand
Hopes that God might stand a friend
To Mary and her gallant soldier."""
333,1963-05-27,Masters of War,The Freewheelin' Bob Dylan,Bob Dylan,"[Verse 1]
Come, you masters of war
You that build the big guns
You that build the death planes
You that build all the bombs
You that hide behind walls
You that hide behind desks
I just want you to know
I can see through your masks

[Verse 2]
You that never done nothing
But build to destroy
You play with my world
Like it’s your little toy
You put a gun in my hand
And you hide from my eyes
And you turn and run farther
When the fast bullets fly

[Verse 3]
Like Judas of old
You lie and deceive
A world war can be won
You want me to believe
But I see through your eyes
And I see through your brain
Like I see through the water
That runs down my drain

[Verse 4]
You fasten all the triggers
For the others to fire
Then you set back and watch
While the death count gets higher
You hide in your mansion
While the young people’s blood
Flows out of their bodies
And is buried in the mud

[Verse 5]
You’ve thrown the worst fear
That can ever be hurled
Fear to bring children
Into the world
For threatening my baby
Unborn and unnamed
You ain't worth the blood
That runs in your veins

[Verse 6]
How much do I know
To talk out of turn
You might say that I’m young
You might say I’m unlearned
But there’s one thing I know
Though I’m younger than you
That even Jesus would never
Forgive what you do

[Verse 7]
Let me ask you one question
Is your money that good
Will it buy you forgiveness
Do you think that it could
I think you will find
When your death takes its toll
All the money you made
Will never buy back your soul

[Verse 8]
And I hope that you die
And your death will come soon
I will follow your casket
By the pale afternoon
And I’ll watch while you’re lowered
Down to your deathbed
And I’ll stand over your grave
'Til I’m sure that you’re dead"
334,1986-07-14,Maybe Someday,Knocked Out Loaded,Bob Dylan,"[Verse 1]
Maybe someday you’ll be satisfied
When you’ve lost everything you’ll have nothing left to hide
When you’re through running over things like you’re walking ’across the tracks
Maybe you’ll beg me to take you back
Maybe someday you’ll find out everybody’s somebody’s fool
Maybe then you’ll realize what it would have taken to keep me cool
Maybe someday when you’re by yourself alone
You’ll know the love that I had for you have been never my own

[Verse 2]
Maybe someday you’ll have nowhere to turn
You’ll look back and wonder ’bout the bridges you have burned
You’ll look back sometime when the lights grow dim
And you’ll see you look much better with me than you do with him
Through hostile cities and unfriendly towns
Thirty pieces of silver, no money down
Maybe someday, you will understand
That something for nothing is everybody’s plan

[Verse 3]
Maybe someday you’ll remember what you felt
When there was blood on the moon in the cotton belt
When both of us, baby, we're going through some sort of a test
Neither one of us could do what we do best
I should have known better, baby, I should have called your bluff
I guess I was too off the handle, not sentimental enough
Maybe someday, you’ll believe me when I say
That I wanted you, baby, in every kind of way

[Verse 4]
Maybe someday you’ll hear a voice from on high
Saying’, “For whose sake did you live, for whose sake did you die?”
Forgive me, baby, for what I didn’t do
For not breaking down no bedroom door to get at you
Always was a sucker for the right cross
Never wanted to go home ’till the last cent was lost
Maybe someday you will look back and see
That I made it so easy for you to follow me

[Verse 5]
Maybe someday there’ll be nothing to tell
I’m just as happy as you, baby, I just can’t say it so well
Never slumbered or slept or waited for lightning to strike
There’s no excuse for you to say that we don’t think alike
You said you were going’ to Frisco, stay a couple of months
I always like San Francisco, I was there for a party once
Maybe someday you’ll see that it’s true
There was no greater love than what I had for you"
335,,Medicine Sunday,"The Bootleg Series, Vol 12: The Cutting Edge (Collectors Edition)",Bob Dylan,"Well, that midnight train pulled on all down the track
You’re standing there watching, with your hands tied behind your back
And you smile so pretty, and nod to the prison guard
Well, I know you want my loving, mama but you’re so hard"
336,1975-01-17,Meet Me In The Morning,Blood on the Tracks,Bob Dylan,"[Verse 1]
Meet me in the morning, 56th and Wabasha
Meet me in the morning, 56th and Wabasha
Honey, we could be in Kansas
By time the snow begins to thaw

[Verse 2]
They say the darkest hour is right before the dawn
They say the darkest hour is right before the dawn
But you wouldn’t know it by me
Every day’s been darkness since you been gone

[Verse 3]
Little rooster crowing, there must be something on his mind
Little rooster crowing, there must be something on his mind
Well, I feel just like that rooster
Honey, ya treat me so unkind

[Verse 4]
Well, I struggled through barbed wire, felt the hail fall from above
Well, I struggled through barbed wire, felt the hail fall from above
Well, you know I even outran the hound dogs
Honey, you know I’ve earned your love

[Verse 5]
Look at the sun sinking like a ship
Look at the sun sinking like a ship
Ain’t that just like my heart, babe
When you kissed my lips?"
337,,Mighty Quinn,,Bob Dylan,"Well everybody's building that boats
Some are building monuments, others jotting down notes
Well everybody's in despair, every girl and boy
But when Quinn the Eskimo gets here everybody's gonna jump for joy
Oh come all without, come all within
You'll not see nothing like the mighty Quinn
Come all without, come all within
You'll not see nothing like the mighty Quinn
Oh you know I like to do just like the rest you know I like my sugar sweet
But jumping fumes and making haste you know it ain't my a cup of meat
Well everybody's out there feeding a pigeons all under the limb
But when Quinn the Eskimo gets here the pigeons gonna run to him
Oh come all without, come all within
You'll not see nothing like the mighty Quinn
Come all without, come all within
You'll not see nothing like the mighty Quinn
A cat's meow and a cow's moo to you know I, I could recite them all
Tell me where it hurts you, honey and I'll tell you who to call
Nobody can get asleep, there's someone on everybody's toes
Quinn the Eskimo gets here everybody's gonna want to doze
Oh come all without yeah, come all within
You'll not see nothing like the mighty Quinn
Oh come all without, come all within
You'll not see nothing like the mighty Quinn"
338,,Milkcow's Calf Blues,,Bob Dylan,"Well I woke up this morning looked all around
See my milkcow but she can't be found
Halla pleease, pleease don't do me wrong don't do me wrong
If you see my milkcow Lord Lord send her home

Well I woke up this morning looked around my bed
Couldn't even eat my breakfast blues in my bread
Halla pleease, pleease don't do me wrong don't do me wrong
If you see my milkcow Lord Lord send her home

Well ma your calf is hungry I believe she needs a suck
But your milk is turning blue I believe she's out of luck
Halla pleease, pleease don't do me wrong don't do me wrong
If you see my milkcow Lord God send her home

Well since my milkcow left me I've been treated wrong
I ain't had no milk and butter since my cow been gone
Halla pleease, pleease don't do me wrong don't do me wrong
If you see my milkcow Lord God send her home"
339,1975-06-26,Million Dollar Bash,The Basement Tapes,Bob Dylan,"Well, that big dumb blonde with her wheel in the gorge
And Turtle, that friend of hers, with his checks all forged
And his cheeks in a chunk, and his cheese in the cash
They’re all gonna be there at that million dollar bash

Ooh, baby, ooh-ee
Ooh, baby, ooh-ee
It’s that million dollar bash

Everybody from right now to over there and back
The louder they come, the bigger they crack
Come now, sweet cream, don’t forget to flash
We’re all gonna meet at that million dollar bash

Ooh, baby, ooh-ee
Ooh, baby, ooh-ee
It’s that million dollar bash

Well, I took my counselor out to the barn
Silly Nelly was there, she told him a yarn
Then along came Jones, emptied the trash
Everybody went down to that million dollar bash

Ooh, baby, ooh-ee
Ooh, baby, ooh-ee
It’s that million dollar bash

Well, I’m hitting it too hard, my stones won’t take
I get up in the morning but it’s too early to wake
First it’s hello, goodbye then push and then crash
But we’re all gonna make it at that million dollar bash

Ooh, baby, ooh-ee
Ooh, baby, ooh-ee
It’s that million dollar bash

Well, I looked at my watch, I looked at my wrist
I punched myself in the face with my fist
I took my potatoes, bound to be mashed
Then I made it on over to that million dollar bash

Ooh, baby, ooh-ee
Ooh, baby, ooh-ee
It’s that million dollar bash"
340,,Million Dollar Bash (take 1),,Bob Dylan,"Well, that big dumb blonde
With her wheel gorged
Turtle, that friend of hers
With his checks all forged
And his cheeks in a chunk
With his cheese in the cash
They're all gonna be there
At that million dollar bash
Ooh, baby, ooh-ee
Ooh, baby, ooh-ee
It's that million dollar bash

Ev'rybody from right now
To over there and back
The louder they come
The bigger they crack
Come now, sweet cream
Don't forget to flash
We're all gonna meet
At that million dollar bash
Ooh, baby, ooh-ee
Ooh, baby, ooh-ee
It's that million dollar bash

Well, I took my counselor
Out to the barn
Silly Nelly was there
She told him a yarn
Then along came Jones
Emptied the trash
Ev'rybody went down
To that million dollar bash
Ooh, baby, ooh-ee
Ooh, baby, ooh-ee
It's that million dollar bash

Well, I'm hittin' it too hard
My stones won't take
I get up in the mornin'
But it's too early to wake
First it's hello, goodbye
Then push and then crash
But we're all gonna make it
At that million dollar bash
Ooh, baby, ooh-ee
Ooh, baby, ooh-ee
It's that million dollar bash

Well, I looked at my watch
I looked at my wrist
I punched myself in the face
With my fist
I took my potatoes
Down to be mashed
And I made it on over
To that million dollar bash
Ooh, baby, ooh-ee
Ooh, baby, ooh-ee
It's that million dollar bash"
341,1997-09-30,Million Miles,Time Out of Mind,Bob Dylan,"[Verse 1]
You took a part of me that I really miss
I keep asking myself how long it can go on like this
You told yourself a lie, that’s all right mama I told myself one too
I’m trying to get closer but I’m still a million miles from you

[Verse 2]
You took the silver, you took the gold
You left me standing out in the cold
People ask about you, I didn’t tell them everything I knew
Well, I’m trying to get closer but I’m still a million miles from you

[Verse 3]
I’m drifting in and out of dreamless sleep
Throwing all my memories in a ditch so deep
Did so many things I never did intend to do
Well, I’m trying to get closer but I’m still a million miles from you

[Verse 4]
I need your love so bad, turn your lamp down low
I need every bit of it for the places that I go
Sometimes I wonder just what it’s all coming to
Well, I’m trying to get closer but I’m still a million miles from you

[Verse 5]
Well, I don’t dare close my eyes and I don’t dare wink
Maybe in the next life I’ll be able to hear myself think
Feel like talking to somebody but I just don’t know who
Well, I’m trying to get closer but I’m still a million miles from you

[Verse 6]
The last thing you said before you hit the street
“Gonna find me a janitor to sweep me off my feet”
I said, “That’s all right mama you  you do what you gotta do”
Well, I’m trying to get closer. I’m still a million miles from you

[Verse 7]
Rock me, pretty baby; rock me ’till everything gets real
Rock me for a little while; rock me ’till there’s nothing left to feel
And I’ll rock you too
I’m trying to get closer but I’m still a million miles from you

[Verse 8]
Well, there’s voices in the night trying to be heard
I’m sitting here listening to every mind-polluting word
I know plenty of people who would put me up for a day or two
Yes, I’m trying to get closer but I’m still a million miles from you"
342,1970-06-08,Minstrel Boy,Self Portrait,Bob Dylan,"[Intro]
Who's gonna throw that minstrel boy a coin ?
Who's gonna let it roll ?
Who's gonna throw that minstrel boy a coin ?
Who's gonna let it down easy to save his soul ?

[Verse 1]
Oh look, he's driving a long, long time
There he still sits on top of the hill
Well aching and jumping with all laid down
With all of them ladies you know he's lonely still
Who's gonna throw that minstrel boy a coin ?
Who's gonna let it roll ?
Who's gonna throw that minstrel boy a coin ?
Who's gonna let it down easy to save his soul ?

[Verse 2]
Well knee deep in number, heavy in toil
Mighty mockingbird he still has such a heavy load
Beneath his boundaries but more if I can tell
With all of these travelling but I'm still on that road
Who's gonna throw that minstrel boy a coin ?
Who's gonna let it roll ?
Who's gonna throw that minstrel boy a coin ?
Who's gonna let it down easy to save his soul ?"
343,,Minstrel Boy (live),,Bob Dylan,"Who's gonna throw that minstrel boy a coin?
Who's gonna let it roll?
Who's gonna throw that minstrel boy a coin?
Who's gonna let it down easy to save his soul?

Oh, Lucky's been drivin' a long, long time
And now he's stuck on top of the hill
With twelve forward gears, it's been a long hard climb
And with all of them ladies, though, he's lonely still

Who's gonna throw that minstrel boy a coin?
Who's gonna let it roll?
Who's gonna throw that minstrel boy a coin?
Who's gonna let it down easy to save his soul?

Well, he deep in number and heavy in toil
Mighty Mockingbird, he still has such a heavy load
Beneath his boundaries, what more can I tell
With all of his travelin', but I'm still on that road

Who's gonna throw that minstrel boy a coin?
Who's gonna let it roll?
Who's gonna throw that minstrel boy a coin?
Who's gonna let it down easy to save his soul?"
344,2001-09-11,Mississippi,Love and Theft,Bob Dylan,"[Verse 1]
Every step of the way we walk the line
Your days are numbered, so are mine
Time is piling’ up, we struggle and we scrape
We’re all boxed in, nowhere to escape

[Verse 2]
City’s just a jungle; more games to play
Trapped in the heart of it, trying' to get away
I was raised in the country, I been working’ in the town
I been in trouble ever since I set my suitcase down

[Verse 3]
Got nothing' for you, I had nothing' before
Don’t even have anything for myself anymore
Sky full of fire, pain pouring’ down
Nothing you can sell me, I’ll see you around

[Verse 4]
All my powers of expression and thoughts so sublime
Could never do you justice in reason or rhyme
Only one thing I did wrong
Stayed in Mississippi a day too long

[Verse 5]
Well, the devil’s in the alley, mule’s in the stall
Say anything you wanna, I have heard it all
I was thinking’ 'bout the things that Rosie said
I was dreaming I was sleeping' in Rosie’s bed

[Verse 6]
Walking through the leaves, falling from the trees
Feeling like a stranger nobody sees
So many things that we never will undo
I know you’re sorry, I’m sorry too

[Verse 7]
Some people will offer you their hand and some won’t
Last night I knew you, tonight I don’t
I need something strong to distract my mind
I’m gonna look at you ’til my eyes go blind

[Verse 8]
Well I got here following' the southern star
I crossed that river just to be where you are
Only one thing I did wrong
Stayed in Mississippi a day too long

[Verse 9]
Well my ship’s been split to splinters and it’s sinking' fast
I’m drowning in the poison, got no future, got no past
But my heart is not weary, it’s light and it’s free
I’ve got nothing but affection for all those who’ve sailed with me

[Verse 10]
Everybody moving if they ain’t already there
Everybody got to move somewhere
Stick with me baby, stick with me anyhow
Things should start to get interesting' right about now

[Verse 11]
My clothes are wet, tight on my skin
Not as tight as the corner that I painted myself in
I know that fortune is waiting’ to be kind
So give me your hand and say you’ll be mine

[Verse 12]
Well, the emptiness is endless, cold as the clay
You can always come back, but you can’t come back all the way
Only one thing I did wrong
Stayed in Mississippi a day too long"
345,,Mississippi (version #2),"The Bootleg Series, Vol 8: Tell Tale Signs",Bob Dylan,"Every step of the way, we walk the line
Your days are numbered, so are mine
Time is piling up, we struggle and we stray
We're all boxed in, nowhere to escape

City's just a jungle, more games to play
Trapped in the heart of it, tryin' to get away
I was raised in the country, I been working in the town
I been in trouble ever since I set my suitcase down

Got nothing for you, I had nothing before
Don't even have anything for myself anymore
Sky full of fire, pain pouring down
Nothing you can sell me, I'll see you around

All my powers of expression and thoughts so sublime
Could never do you justice in reason or rhyme
Only one thing I did wrong
Stayed in Mississippi a day too long

Well, the devil's in the alley, mule's in the stall
Say anything you wanna, I have heard it all
I was thinking about the things that Rosie said
I was dreaming I was sleeping in Rosie's bed

Walking through the leaves, falling from the trees
Feeling like a stranger nobody sees
So many things that we never will undo
I know you're sorry, I'm sorry too

Some people will offer you their hand and some won't
Last night I knew you, tonight I don't
I need something strong to distract my mind
I'm gonna look at you till my eyes go blind

Well I got here following the southern star
I crossed that river just to be where you are
Only one thing I did wrong
Stayed in Mississippi a day too long

Well my ship's been split to splinters and it's sinking fast
I'm drowning in the poison, got no future, got no past
But my heart is not weary, it's light and it's free
I've got nothing but affection for all those who sailed with me

Everybody's moving, if they ain't already there
Everybody got to move somewhere
Stick with me baby, stick with me anyhow
Things should start to get interesting right about now

My clothes are wet, tight on my skin
Not as tight as the corner that I painted myself in
I know that fortune is waiting to be kind
So give me your hand and say you'll be mine

Well, the emptiness is endless, cold as the clay
You can always come back, but you can't come back all the way
Only one thing I did wrong
Stayed in Mississippi a day too long"
346,,Miss the Mississippi,"The Bootleg Series, Vol 8: Tell Tale Signs",Bob Dylan,"I'm growing tired of the big city nights
Tired of the glamour and tired of the sights
In all my dreams I am roaming once more
Back to my home on the old river shore

I am sad and weary far away from home
Miss the Mississippi and you dear
Nights are dark and dreary everywhere I roam
Miss the Mississippi and you

Roaming the wide world over
Always along and blue, so blue
Nothing seems to cheer me under heaven's dome
Miss the Mississippi and you

Memories are bringing happy days of yore
Missing Mississippi and you
Mocking birds are singing around the cabin door
Missing Mississippi and you

Rolling the wide world over
Always alone and blue, so blue
Longing form my homeland, muddy water shore
Miss the Mississippi and you"
347,1962-12-14,Mixed-Up Confusion,Masterpieces ,Bob Dylan,"[Verse 1]
I got mixed up confusion
Man, it’s a-killing me
Well, there’s too many people
And they’re all too hard to please

[Verse 2]
Well, my hat’s in my hand
Babe, I’m walking down the line
An’ I’m looking for a woman
Whose head’s mixed up like mine

[Verse 3]
Well, my head’s full of questions
My temperature’s rising fast
Well, I’m looking for some answers
But I don’t know who to ask

[Verse 4]
But I’m walking and wondering
And my poor feet don’t ever stop
Seeing my reflection
I’m hung over, hung down, hung up!"
348,2001-09-11,Moonlight,Love and Theft,Bob Dylan,"The seasons they are turning and my sad heart is yearning
To hear again the songbird’s sweet melodious tone
Won’t you meet me out in the moonlight alone?

The dusky light, the day is losing, Orchids, Poppies, Black-eyed Susan
The earth and sky that melts with flesh and bone
Won’t you meet me out in the moonlight alone?

The air is thick and heavy all along the levy
Where the geese into the countryside have flown
Won’t you meet me out in the moonlight alone?

Well, I’m preaching peace and harmony
The blessings of tranquility
Yet I know when the time is right to strike
I’ll take you cross the river dear
You’ve no need to linger here
I know the kinds of things you like

The clouds are turning crimson–the leaves fall from the limbs an’
The branches cast their shadows over stone
Won’t you meet me out in the moonlight alone?

The boulevards of cypress trees, the masquerades of birds and bees
The petals, pink and white, the wind has blown
Won’t you meet me out in the moonlight alone?

The trailing moss and mystic glow
Purple blossoms soft as snow
My tears keep flowing to the sea
Doctor, lawyer, Indian chief
It takes a thief to catch a thief
For whom does the bell toll for, love? It tolls for you and me

My pulse is running through my palm–the sharp hills are rising from
The yellow fields with twisted oaks that groan
Won’t you meet me out in the moonlight alone?"
349,2005-08-30,Moonshiner,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Bob Dylan,"[Verse 1]
I've been a moonshiner
For seventeen long years
I've spent all my money
On whiskey and beer
I go to some hollow
And sit at my still
And if whiskey dont kill me
Then I dont know what will

[Verse 2]
I go to some bar room
And drink with my friends
Where the women can't follow
And see what I spend
God bless them pretty women
I wish they was mine
Their breath is as sweet
The dew on the vine

[Verse 3]
Let me eat when I am hungry
Let me drink when I am dry
A dollar when I am hard up
Religion when I die
The whole world's a bottle
And life's but a dram
When the bottle gets empty
It sure ain't worth a damn"
350,,Most Likely You Go Your Way,,Bob Dylan,"You say you love me
And you're thinkin' of me
But you know you could be wrong
You say you told me
That you wanna hold me
But you know you're not that strong
I just can't do what I done before
I just can't beg you any more
I'm gonna let you pass
And I'll go last
Then time will tell just who fell
And who's been left behind
When you go your way and I go mine

You say you disturb me
And you don't deserve me
But you know sometimes you lie
You say you're shakin'
And you're always achin'
But you know how hard you try
Sometimes it gets so hard to care
It can't be this way ev'rywhere
And I'm gonna let you pass
Yes, and I'll go last
Then time will tell just who fell
And who's been left behind
When you go your way and I go mine

The judge, he holds a grudge
He's gonna call on you
But he's badly built
And he walks on stilts
Watch out he don't fall on you

You say you're sorry
For tellin' stories
That you know I believe are true
You say ya got some
Other kinda lover
And yes, I believe you do
You say my kisses are not like his
But this time I'm not gonna tell you why that is
I'm just gonna let you pass
Yes, and I'll go last
Then time will tell who fell
And who's been left behind
When you go your way and I go mine"
